,Job Title,Location,Size,Type of ownership,Industry,Sector,hourly,employer_provided,min_salary,max_salary,avg_salary,job_state,python_yn,R_yn,spark,aws,excel,job_simp,seniority
25,Digital Health Data Scientist,"Cambridge, MA",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,63,110,86.5,MA,1,0,0,1,1,data scientist,na
26,Data Scientist,"Hillsboro, OR",1001 to 5000 employees,Company - Private,Banks & Credit Unions,Finance,0,0,75,,99.5,OR,1,0,1,1,1,data scientist,na
27,Associate Data Analyst,"Worcester, MA",5001 to 10000 employees,Company - Public,Insurance Carriers,Insurance,0,0,34,61,47.5,MA,0,0,0,0,1,analyst,na
28,Clinical Data Scientist,"Groton, CT",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,63,105,84,CT,0,0,0,1,1,data scientist,na
29,Data Scientist,"Clearwater, FL",501 to 1000 employees,Company - Private,Security Services,Business Services,0,0,80,90,85,FL,1,0,1,0,1,data scientist,na
30,Data Scientist,"Richland, WA",1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities",0,0,56,97,76.5,WA,1,0,0,0,0,data scientist,na
31,Data Scientist,"Detroit, MI",1001 to 5000 employees,Company - Private,Real Estate,Real Estate,0,0,72,120,96,MI,1,0,0,0,0,data scientist,na
32,Data Scientist / Machine Learning Expert,"Cambridge, MA",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,86,143,114.5,MA,1,0,0,0,0,data scientist,na
33,Data Scientist,"Sunnyvale, CA",5001 to 10000 employees,Company - Public,Telecommunications Services,Telecommunications,0,0,93,149,121,CA,1,0,1,0,1,data scientist,na
34,Data Scientist,"Ipswich, MA",201 to 500 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,85,140,112.5,MA,1,0,0,0,1,data scientist,na
35,Web Data Analyst,"San Jose, CA",201 to 500 employees,Company - Private,IT Services,Information Technology,0,0,77,135,106,CA,1,0,0,0,1,analyst,na
36,Data Scientist,"Redlands, CA",1001 to 5000 employees,Company - Private,Computer Hardware & Software,Information Technology,0,0,82,132,107,CA,1,0,1,1,0,data scientist,na
37,Data Scientist,"Woburn, MA",201 to 500 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,0,0,83,137,110,MA,1,0,1,0,1,data scientist,na
38,Senior Data Scientist,"Fremont, CA",5001 to 10000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,115,180,147.5,CA,1,0,0,0,1,data scientist,senior
39,Data Engineer,"Long Beach, NY",201 to 500 employees,Company - Private,Insurance Carriers,Insurance,0,0,74,138,106,NY,1,0,0,0,1,data engineer,na
40,Data Analyst,"San Francisco, CA",201 to 500 employees,Company - Private,IT Services,Information Technology,0,0,64,112,88,CA,1,0,,1,1,analyst,na
41,Data Engineer,"Marlborough, MA",1 to 50 employees,Company - Private,-1,-1,0,0,68,129,98.5,MA,0,0,0,0,1,data engineer,na
42,Data Scientist - Algorithms & Inference,"San Francisco, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,110,175,142.5,CA,0,0,0,0,0,data scientist,na
43,Scientist,"Allendale, NJ",5001 to 10000 employees,Company - Public,Consumer Products Manufacturing,Manufacturing,0,0,52,113,82.5,NJ,0,0,0,1,0,na,na
44,Senior Data Scientist,"Chicago, IL",1001 to 5000 employees,Company - Public,Real Estate,Real Estate,0,0,110,150,130,IL,1,0,1,0,1,data scientist,senior
45,Data Scientist,"Washington, DC",Unknown,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,1,150,160,155,DC,0,0,0,1,1,data scientist,na
46,Lead Data Scientist,"Bellevue, WA",10000+ employees,Company - Public,IT Services,Information Technology,0,0,158,211,184.5,WA,1,0,0,0,1,data scientist,senior
47,Associate Data Analyst,"Longmont, CO",5001 to 10000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,20,39,29.5,CO,0,0,0,0,1,analyst,na
48,Spectral Scientist/Engineer,"Beavercreek, OH",501 to 1000 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,0,0,56,117,86.5,OH,0,0,0,0,0,na,na
49,College Hire - Data Scientist - Open to December 2019 Graduates,"Peoria, IL",10000+ employees,Company - Public,Industrial Manufacturing,Manufacturing,0,0,63,99,81,IL,0,0,0,0,0,data scientist,na
50,Data Scientist,"Fort Lauderdale, FL",501 to 1000 employees,Subsidiary or Business Segment,Advertising & Marketing,Business Services,0,0,68,114,91,FL,1,0,0,0,1,data scientist,na
51,"Data Scientist, Office of Data Science","Boston, MA",10000+ employees,Company - Private,Insurance Carriers,Insurance,0,0,86,143,114.5,MA,1,0,0,0,0,data scientist,na
52,Data Science Analyst,"Huntsville, AL",1001 to 5000 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,0,0,41,95,68,AL,1,0,0,0,1,analyst,na
53,Data Scientist,"Armonk, NY",10000+ employees,Company - Public,Insurance Agencies & Brokerages,Insurance,0,0,86,144,115,NY,1,0,0,0,1,data scientist,na
54,Data Scientist,"San Diego, CA",10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense,0,0,80,139,109.5,CA,0,0,0,0,1,data scientist,na
55,Data Scientist,"Albuquerque, NM",5001 to 10000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,56,95,75.5,NM,1,0,0,0,1,data scientist,na
56,Data Scientist,"San Francisco, CA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,120,189,154.5,CA,1,0,1,0,1,data scientist,na
57,Data Scientist,"Saint Louis, MO",51 to 200 employees,Company - Private,IT Services,Information Technology,0,0,111,176,143.5,MO,1,0,1,0,0,data scientist,na
58,Data Scientist,"Baltimore, MD",501 to 1000 employees,Company - Private,Banks & Credit Unions,Finance,0,0,54,93,73.5,MD,0,0,0,0,1,data scientist,na
59,Data Scientist,"Dallas, TX",201 to 500 employees,Company - Public,Real Estate,Real Estate,0,0,71,119,95,TX,1,0,0,1,1,data scientist,na
60,Senior Data Scientist,"Cincinnati, OH",201 to 500 employees,Subsidiary or Business Segment,Metals Brokers,Mining & Metals,0,0,82,132,107,OH,1,0,0,1,0,data scientist,senior
61,Data Scientist,"New York, NY",201 to 500 employees,Company - Private,Consulting,Business Services,0,0,84,146,115,NY,1,0,1,1,0,data scientist,na
62,Senior Risk Data Scientist,"Palo Alto, CA",501 to 1000 employees,Company - Public,Financial Transaction Processing,Finance,0,0,107,172,139.5,CA,0,0,0,0,0,data scientist,senior
63,Data Scientist in Artificial Intelligence Early Career,"Richland, WA",1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities",0,0,49,85,67,WA,0,0,0,0,0,data scientist,na
64,Data Scientist,"Coraopolis, PA",10000+ employees,Company - Public,Sporting Goods Stores,Retail,0,0,61,109,85,PA,1,0,0,0,0,data scientist,na
65,Data Scientist,"Framingham, MA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,88,148,118,MA,1,0,0,0,1,data scientist,na
66,Data Scientist,"Atlanta, GA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,0,0,60,99,79.5,GA,1,0,0,0,1,data scientist,na
67,Data Scientist - Research,"Boston, MA",201 to 500 employees,Company - Public,Advertising & Marketing,Business Services,0,0,41,72,56.5,MA,1,0,0,0,0,data scientist,na
68,Data Scientist,"Philadelphia, PA",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,0,0,96,161,128.5,PA,1,0,1,1,0,data scientist,na
69,R&D Data Analysis Scientist,"Vancouver, WA",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology,0,0,65,130,97.5,WA,0,0,0,0,0,na,na
70,Analytics Consultant,"Indianapolis, IN",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,52,81,66.5,IN,1,0,0,0,0,na,na
71,"Director, Data Science","Lake Forest, IL",10000+ employees,Company - Public,Wholesale,Business Services,0,0,139,220,179.5,IL,1,0,0,0,1,director,na
72,Scientist,"Maryland Heights, MO",501 to 1000 employees,Subsidiary or Business Segment,Research & Development,Business Services,0,0,50,102,76,MO,0,0,0,0,1,na,na
73,Data Scientist SR,"Charlottesville, VA",501 to 1000 employees,Company - Private,IT Services,Information Technology,0,0,85,139,112,VA,1,0,1,0,0,data scientist,senior
74,Data Scientist,"Pittsburgh, PA",1001 to 5000 employees,Company - Private,Mining,Mining & Metals,0,0,74,122,98,PA,1,0,0,0,0,data scientist,na
75,R&D Sr Data Scientist,"Vancouver, WA",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology,0,0,99,157,128,WA,0,0,1,1,0,data scientist,senior
76,Customer Data Scientist/Sales Engineer (Bay,"Mountain View, CA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,79,222,150.5,CA,1,0,1,1,1,data scientist,na
77,Research Scientist,"Cambridge, MA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,57,118,87.5,MA,0,0,0,1,0,na,na
78,Data Scientist,"Chantilly, VA",1001 to 5000 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,0,0,83,137,110,VA,1,0,0,0,1,data scientist,na
79,Data Scientist,"San Jose, CA",10000+ employees,Company - Private,IT Services,Information Technology,0,0,86,141,113.5,CA,1,0,0,0,1,data scientist,na
80,Data Scientist,"San Francisco, CA",51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care,0,0,94,154,124,CA,1,0,0,0,0,data scientist,na
81,Jr. Business Data Analyst,"Harrisburg, PA",201 to 500 employees,Company - Private,Advertising & Marketing,Business Services,0,0,37,76,56.5,PA,0,0,0,0,1,analyst,jr
82,Data Scientist,"Laurel, MD",5001 to 10000 employees,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,0,0,100,160,130,MD,1,0,0,0,1,data scientist,na
83,Data Analyst,"Chicago, IL",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,0,0,55,100,77.5,IL,0,0,0,0,1,analyst,na
84,Data Engineer,"Arlington, VA",201 to 500 employees,Company - Private,Consulting,Business Services,0,0,60,114,87,VA,1,0,0,1,1,data engineer,na
85,Data Analyst,"Tacoma, WA",501 to 1000 employees,Company - Private,Wholesale,Business Services,0,0,39,68,53.5,WA,0,0,0,0,1,analyst,na
86,Staff Data Scientist - Technology,"Plano, TX",10000+ employees,Company - Public,"Department, Clothing, & Shoe Stores",Retail,0,0,106,172,139,TX,0,0,0,0,0,data scientist,na
87,Data Scientist,"San Jose, CA",201 to 500 employees,Company - Private,Consulting,Business Services,0,0,86,142,114,CA,1,0,1,1,1,data scientist,na
88,Data Scientist,"Miami, FL",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,64,107,85.5,FL,1,0,1,0,1,data scientist,na
89,Data Management Specialist,"Huntsville, AL",51 to 200 employees,Company - Private,IT Services,Information Technology,0,0,31,65,48,AL,0,0,0,0,1,na,na
90,E-Commerce Data Analyst,"New Orleans, LA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,34,62,48,LA,0,0,0,0,1,analyst,na
91,Sr. Scientist II,"San Francisco, CA",201 to 500 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,117,231,174,CA,0,0,0,0,1,na,senior
92,Insurance Data Scientist,"Atlanta, GA",5001 to 10000 employees,Company - Public,Financial Analytics & Research,Finance,0,0,64,106,85,GA,1,0,1,0,0,data scientist,na
93,Data Modeler,"Landover, MD",51 to 200 employees,Company - Private,IT Services,Information Technology,0,0,79,134,106.5,MD,0,0,0,0,0,na,na
94,Data Analyst / Scientist,"Patuxent River, MD",1001 to 5000 employees,Company - Private,IT Services,Information Technology,0,0,52,93,72.5,MD,0,0,0,0,1,analyst,na
95,Scientist,"Suitland, MD",10000+ employees,Subsidiary or Business Segment,IT Services,Information Technology,0,0,55,116,85.5,MD,0,0,0,0,0,na,na
96,Data Scientist,"McLean, VA",5001 to 10000 employees,Nonprofit Organization,Federal Agencies,Government,0,0,72,123,97.5,VA,1,0,0,0,1,data scientist,na
97,Data Scientist,"Fort Belvoir, VA",501 to 1000 employees,Company - Private,IT Services,Information Technology,0,0,74,124,99,VA,1,0,0,0,1,data scientist,na
98,Data Analyst,"Milwaukee, WI",1001 to 5000 employees,Company - Private,Insurance Carriers,Insurance,0,0,40,73,56.5,WI,0,0,0,0,1,analyst,na
99,Lead Data Scientist,"Silver Spring, MD",1 to 50 employees,Company - Private,IT Services,Information Technology,0,0,102,164,133,MD,1,0,0,0,0,data scientist,senior
100,Data Scientist,"New York, NY",51 to 200 employees,Company - Private,Research & Development,Business Services,0,0,89,153,121,NY,1,0,1,0,0,data scientist,na
101,Data Scientist,"Syracuse, NY",501 to 1000 employees,Company - Private,Security Services,Business Services,0,0,61,110,85.5,NY,1,0,0,0,0,data scientist,na
102,"Data Scientist, Rice University","Houston, TX",1001 to 5000 employees,Subsidiary or Business Segment,Education Training Services,Education,0,0,65,110,87.5,TX,1,0,0,0,0,data scientist,na
103,Senior Data Scientist,"Washington, DC",1001 to 5000 employees,Company - Private,Consulting,Business Services,0,0,200,275,237.5,DC,1,0,0,0,1,data scientist,senior
104,Data Engineer,"Charlotte, NC",1001 to 5000 employees,Company - Private,IT Services,Information Technology,0,0,68,123,95.5,NC,1,0,1,0,0,data engineer,na
105,Senior Data Scientist,"Southfield, MI",10000+ employees,Company - Public,Transportation Equipment Manufacturing,Manufacturing,0,0,80,129,104.5,MI,1,0,1,1,1,data scientist,senior
106,Financial Data Analyst,"Matawan, NJ",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology,0,0,41,72,56.5,NJ,0,0,0,0,1,analyst,na
107,Senior Data Analyst,"Phoenix, AZ",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,39,71,55,AZ,0,0,0,0,1,analyst,senior
108,Research Scientist,"Omaha, NE",1001 to 5000 employees,Hospital,Health Care Services & Hospitals,Health Care,0,0,38,85,61.5,NE,0,0,0,0,1,na,na
109,Data Scientist,"San Francisco, CA",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology,0,0,121,193,157,CA,0,0,1,1,0,data scientist,na
110,Data Engineer,"Lyndhurst, NJ",201 to 500 employees,Company - Private,Internet,Information Technology,0,0,54,102,78,NJ,1,0,0,0,0,data engineer,na
111,Data Scientist,"Cambridge, MA",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,83,144,113.5,MA,1,0,1,0,0,data scientist,na
112,Data Scientist,"New York, NY",51 to 200 employees,Company - Private,Internet,Information Technology,0,0,120,160,140,NY,1,0,1,0,0,data scientist,na
113,Data Scientist,"San Francisco, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,102,163,132.5,CA,0,0,1,0,1,data scientist,na
114,Data Engineer,"San Francisco, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology,0,0,76,140,108,CA,1,0,1,0,0,data engineer,na
115,Ag Data Scientist,"Atlanta, IN",501 to 1000 employees,Company - Private,Farm Support Services,Agriculture & Forestry,0,0,60,101,80.5,IN,0,0,0,0,0,data scientist,na
116,Data Scientist,"Rockville, MD",201 to 500 employees,Company - Private,Health Care Services & Hospitals,Health Care,0,0,82,133,107.5,MD,1,0,0,0,0,data scientist,na
117,Data Engineer,"Minneapolis, MN",51 to 200 employees,Company - Private,Consulting,Business Services,0,0,65,125,95,MN,0,0,1,1,0,data engineer,na
118,Data Scientist II,"Los Angeles, CA",1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,0,0,91,148,119.5,CA,1,0,1,0,0,data scientist,na
119,Senior Data Engineer,"Charlotte, NC",1001 to 5000 employees,Company - Private,Advertising & Marketing,Business Services,0,0,95,173,134,NC,0,0,1,1,0,data engineer,senior
120,Data Scientist,"Cambridge, MA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,77,124,100.5,MA,1,0,0,0,1,data scientist,na
121,Data Scientist,"Cincinnati, OH",1001 to 5000 employees,Company - Public,TV Broadcast & Cable Networks,Media,0,0,80,135,107.5,OH,1,0,0,0,0,data scientist,na
122,Data Engineer,"Washington, DC",51 to 200 employees,Company - Private,Internet,Information Technology,0,0,85,159,122,DC,1,0,1,1,0,data engineer,na
123,Data Engineer,"Chicago, IL",1001 to 5000 employees,Company - Public,Real Estate,Real Estate,0,0,80,105,92.5,IL,1,0,1,0,1,data engineer,na
124,Data Analyst,"Baltimore, MD",501 to 1000 employees,Company - Private,Research & Development,Business Services,0,0,43,81,62,MD,0,0,0,0,1,analyst,na
125,Project Scientist,"Alabaster, AL",51 to 200 employees,Unknown,Architectural & Engineering Services,Business Services,0,0,29,50,39.5,AL,0,0,0,0,0,na,na
126,Data Scientist,"Santa Fe Springs, Los Angeles, CA",1001 to 5000 employees,Company - Private,Industrial Manufacturing,Manufacturing,0,0,82,133,107.5,CA,0,0,0,0,1,data scientist,na
127,Data Analytics Manager,"Kansas City, MO",501 to 1000 employees,Company - Private,Staffing & Outsourcing,Business Services,0,0,26,55,40.5,MO,1,0,0,1,1,manager,na
128,Senior Machine Learning (ML) Engineer / Data Scientist - Cyber Security Analytics,"Ashburn, VA",10000+ employees,Company - Public,IT Services,Information Technology,0,0,61,118,89.5,VA,1,0,1,0,0,data scientist,senior
129,Data Scientist,"Chicago, IL",201 to 500 employees,Company - Private,Consulting,Business Services,0,0,60,102,81,IL,1,0,0,1,1,data scientist,na
130,Senior Data Scientist,"Herndon, VA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,112,182,147,VA,1,0,0,1,0,data scientist,senior
131,Data Scientist,"Fort Worth, TX",1001 to 5000 employees,Company - Private,Brokerage Services,Finance,0,0,64,106,85,TX,1,0,0,0,1,data scientist,na
132,Associate Scientist,"Valencia, CA",1001 to 5000 employees,Company - Private,Consumer Products Manufacturing,Manufacturing,0,0,51,112,81.5,CA,0,0,0,0,1,na,na
133,"Scientist 2, QC Viral Vector","Novato, CA",1001 to 5000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,113,223,168,CA,0,0,0,0,1,na,na
134,Machine Learning Engineer,"Aurora, CO",1 to 50 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,0,0,72,129,100.5,CO,1,0,1,1,1,mle,na
135,Data Scientist/ML Engineer,"New York, NY",1001 to 5000 employees,Company - Private,Consulting,Business Services,0,0,71,123,97,NY,1,0,1,0,1,data scientist,na
136,Data Scientist,"Chantilly, VA",5001 to 10000 employees,Company - Public,Research & Development,Business Services,0,0,64,106,85,VA,0,0,0,0,0,data scientist,na
137,Customer Data Scientist,"Mountain View, CA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,118,189,153.5,CA,1,0,1,1,1,data scientist,na
138,Data Engineer,"Tampa, FL",51 to 200 employees,Company - Private,IT Services,Information Technology,0,1,120,145,132.5,FL,0,0,0,0,0,data engineer,na
139,Data Engineer,"Chicago, IL",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,0,0,80,120,100,IL,0,0,1,0,1,data engineer,na
140,Sr. Data Scientist,"Denver, CO",201 to 500 employees,Company - Private,Travel Agencies,Travel & Tourism,0,0,80,130,105,CO,1,0,0,0,0,data scientist,senior
141,Data Engineer 4 - Contract,"Riverton, UT",10000+ employees,Nonprofit Organization,Religious Organizations,Non-Profit,0,0,59,115,87,UT,0,0,0,1,1,data engineer,na
142,Data Analyst - Asset Management,"San Francisco, CA",51 to 200 employees,Company - Private,Real Estate,Real Estate,0,0,71,136,103.5,CA,0,0,0,0,1,analyst,na
143,Senior Research Scientist - Embedded System Development for DevOps,"Pittsburgh, PA",501 to 1000 employees,College / University,Colleges & Universities,Education,0,0,81,167,124,PA,1,0,0,0,1,na,senior
144,Data Scientist - Bioinformatics,"Richland, WA",1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities",0,0,49,85,67,WA,1,0,0,0,0,data scientist,na
145,Data Engineer,"Washington, DC",10000+ employees,Company - Private,IT Services,Information Technology,0,0,60,114,87,DC,0,0,0,0,0,data engineer,na
146,Customer Data Scientist/Sales Engineer,"Chicago, IL",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,71,204,137.5,IL,1,0,1,1,1,data scientist,na
147,Lead Data Scientist,"Cincinnati, OH",201 to 500 employees,Company - Private,Advertising & Marketing,Business Services,0,0,75,125,100,OH,1,0,0,0,1,data scientist,senior
148,MongoDB Data Engineer II,"Chattanooga, TN",5001 to 10000 employees,Nonprofit Organization,Insurance Carriers,Insurance,0,0,77,136,106.5,TN,0,0,0,0,1,data engineer,na
149,Senior Data Scientist Statistics,"Richland, WA",1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities",0,0,74,123,98.5,WA,0,0,0,0,0,data scientist,senior
150,Senior Data Analyst,"Clearwater, FL",501 to 1000 employees,Company - Private,Security Services,Business Services,0,0,44,78,61,FL,1,0,0,0,1,analyst,senior
151,Senior Spark Engineer (Data Science),"Indianapolis, IN",51 to 200 employees,Company - Private,Consulting,Business Services,0,0,65,148,106.5,IN,1,0,1,1,0,na,senior
152,Data Engineer,"Cambridge, MA",51 to 200 employees,Company - Private,Internet,Information Technology,0,0,59,110,84.5,MA,1,0,1,0,0,data engineer,na
153,BI & Platform Analytics Manager,"Ewing, NJ",1001 to 5000 employees,Company - Public,Consumer Products Manufacturing,Manufacturing,0,0,85,134,109.5,NJ,1,0,0,0,1,manager,na
154,Lead Data Scientist,"Boston, MA",5001 to 10000 employees,Company - Private,Insurance Carriers,Insurance,0,0,124,204,164,MA,1,0,1,1,0,data scientist,senior
155,"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)","South San Francisco, CA",10000+ employees,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,131,207,169,CA,1,0,1,0,1,data scientist,senior
156,Senior Data Scientist,"Cupertino, CA",5001 to 10000 employees,Company - Public,Telecommunications Services,Telecommunications,0,0,110,174,142,CA,1,0,1,1,1,data scientist,senior
157,Pricipal Scientist Molecular and cellular biologist,"Boston, MA",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,52,101,76.5,MA,0,0,0,0,1,na,na
158,"Data Scientist (Actuary, FSA or ASA)","Frederick, MD",501 to 1000 employees,Company - Private,Insurance Carriers,Insurance,0,0,81,133,107,MD,1,0,0,0,1,data scientist,na
159,Staff Data Scientist,"San Jose, CA",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology,0,0,132,211,171.5,CA,1,0,0,1,0,data scientist,na
160,Senior Data Scientist / Machine Learning,"Dallas, TX",201 to 500 employees,Company - Private,Insurance Agencies & Brokerages,Insurance,0,0,73,119,96,TX,0,0,0,0,1,data scientist,senior
161,Data Scientist - Health Data Analytics,"San Francisco, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,110,175,142.5,CA,0,0,0,0,0,data scientist,na
162,Data Engineer 5 - Contract (Remote),"Riverton, UT",10000+ employees,Nonprofit Organization,Religious Organizations,Non-Profit,0,0,74,140,107,UT,0,0,0,0,1,data engineer,na
